City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
140,Luwuk,ID,-0.95,122.79,87.67,58,98,4.0,light rain
141,Bethel,US,41.37,-73.41,44.01,75,72,1.99,broken clouds
142,Rehoboth,NA,-23.32,17.08,68.36,26,100,2.44,overcast clouds
143,Flinders,AU,-34.58,150.86,57.0,81,99,5.01,light rain
144,Khatanga,RU,71.97,102.5,7.97,95,100,13.71,light snow
145,Mahebourg,MU,-20.41,57.7,73.4,78,75,17.22,shower rain
146,Lompoc,US,34.64,-120.46,62.6,72,90,3.11,overcast clouds
147,Peniche,PT,39.36,-9.38,64.0,87,76,17.0,broken clouds
148,Longyearbyen,SJ,78.22,15.64,21.2,85,75,4.7,broken clouds
149,Saint-Philippe,RE,-21.36,55.77,78.8,61,0,21.92,clear sky
150,Roshchino,RU,60.25,29.61,39.0,95,100,4.5,overcast clouds
151,San Policarpo,PH,12.18,125.51,76.96,93,100,18.99,heavy intensity rain
152,Yingkou,CN,40.66,122.23,61.12,43,60,10.16,broken clouds
153,Beringovskiy,RU,63.05,179.32,30.83,96,98,11.68,overcast clouds
154,Khasan,RU,42.43,130.64,58.6,41,0,16.96,clear sky
155,Srednekolymsk,RU,67.45,153.68,16.61,96,11,4.0,few clouds
156,Port Hedland,AU,-20.32,118.57,84.2,54,0,17.22,clear sky
157,Kirya,TZ,-3.92,37.48,72.36,71,84,3.09,broken clouds
158,Yartsevo,RU,55.07,32.7,45.18,95,94,6.02,light rain
159,Hualmay,PE,-11.1,-77.61,61.68,85,78,6.04,broken clouds
160,San Carlos De Bariloche,AR,-41.15,-71.31,41.0,85,75,14.99,broken clouds
161,Hermanus,ZA,-34.42,19.23,61.0,87,55,6.78,broken clouds
162,Sinnamary,GF,5.38,-52.95,80.28,81,81,9.69,broken clouds
163,Rockport,US,28.02,-97.05,71.01,68,1,10.29,clear sky
164,Sandwick,GB,60.0,-1.25,48.2,81,26,12.75,scattered clouds
165,Beyneu,KZ,45.32,55.2,59.61,43,94,15.32,overcast clouds
166,Saskylakh,RU,71.92,114.08,11.61,94,100,18.03,overcast clouds
167,Cidreira,BR,-30.18,-50.21,68.95,91,32,16.93,scattered clouds
168,Huarmey,PE,-10.07,-78.15,62.98,82,85,6.42,overcast clouds
169,Alta Floresta,BR,-9.88,-56.09,70.12,96,100,2.15,overcast clouds
170,Turtas,RU,58.94,69.13,31.1,98,100,9.62,overcast clouds
171,Karoi,ZW,-16.81,29.69,70.05,47,84,9.93,broken clouds
172,Lavrentiya,RU,65.58,-171.0,33.89,90,22,8.88,few clouds
173,Milicz,PL,51.53,17.27,48.99,98,0,5.93,clear sky
174,Sitka,US,57.05,-135.33,35.6,64,1,4.7,clear sky
175,San Cristobal,VE,7.77,-72.22,66.2,82,36,1.34,scattered clouds
176,Novikovo,RU,51.15,37.89,54.28,79,95,14.67,light rain
177,Marsa Matruh,EG,31.35,27.25,73.0,70,2,11.83,clear sky
178,Namibe,AO,-15.2,12.15,67.44,82,73,2.77,broken clouds
179,Babu,CN,24.42,111.52,69.04,61,97,3.83,overcast clouds
180,Dawson Creek,CA,55.77,-120.24,12.2,78,1,5.28,clear sky
181,Aksu,CN,41.12,80.26,58.37,29,93,5.28,overcast clouds
182,Kahului,US,20.89,-156.47,87.8,48,40,13.87,scattered clouds
183,Butaritari,KI,3.07,172.79,81.27,69,93,6.71,overcast clouds
184,Santa Cruz,BO,-17.8,-63.17,80.6,74,13,8.05,few clouds
185,Catuday,PH,16.29,119.81,82.8,76,98,1.95,light rain
186,Bambous Virieux,MU,-20.34,57.76,75.0,78,75,17.22,shower rain
187,Faanui,PF,-16.48,-151.75,79.61,76,97,8.75,moderate rain
188,Cabo San Lucas,MX,22.89,-109.91,81.0,82,0,1.01,clear sky
189,Dagana,MR,16.52,-15.51,87.55,17,91,7.27,overcast clouds
190,Chuguyevka,RU,44.17,133.86,40.89,70,100,7.25,overcast clouds
191,Constitucion,CL,-35.33,-72.42,50.36,84,64,8.37,broken clouds
192,Plettenberg Bay,ZA,-34.05,23.37,63.88,86,33,7.16,scattered clouds
193,Villacarrillo,ES,38.12,-3.08,50.0,84,0,2.48,clear sky
194,Lasa,IT,46.62,10.7,48.0,93,20,2.57,few clouds
195,Pierre,US,44.37,-100.35,24.01,85,90,11.41,mist
196,Bom Sucesso,BR,-21.03,-44.76,62.8,96,100,4.63,moderate rain
197,Mecca,SA,21.43,39.83,82.42,44,0,2.98,clear sky
198,Dikson,RU,73.51,80.55,20.91,92,53,9.24,broken clouds
199,Katsuura,JP,35.13,140.3,73.0,40,20,4.7,few clouds
200,Razvilnoye,RU,46.24,41.3,57.65,71,79,12.17,broken clouds
201,Dinghai,CN,26.28,119.79,73.4,60,40,20.13,scattered clouds
202,Namatanai,PG,-3.67,152.43,83.64,70,37,6.6,light rain
203,Saint-Paul,RE,-21.01,55.27,77.0,65,75,26.4,broken clouds
204,Nizwa,OM,22.93,57.53,81.7,15,0,4.59,clear sky
205,Clonakilty,IE,51.62,-8.87,44.01,87,20,12.75,few clouds
206,Kovylkino,RU,54.04,43.91,45.7,95,100,4.23,moderate rain
207,Yulara,AU,-25.24,130.99,77.0,20,0,14.99,clear sky
208,Batsfjord,NO,70.63,29.72,35.83,82,98,12.01,overcast clouds
209,Kaitangata,NZ,-46.28,169.85,55.0,87,100,15.01,overcast clouds
210,Kupang,ID,-10.17,123.58,95.0,47,40,8.05,scattered clouds
211,Meulaboh,ID,4.14,96.13,77.7,85,100,3.83,overcast clouds
212,Anloga,GH,5.79,0.9,80.6,83,40,5.82,scattered clouds
213,Bayangol,RU,50.7,103.47,34.32,77,93,11.43,overcast clouds
214,Bredasdorp,ZA,-34.53,20.04,60.8,77,30,5.82,scattered clouds
215,Barra Do Pirai,BR,-22.47,-43.83,66.76,94,100,1.57,overcast clouds
216,Urengoy,RU,65.97,78.37,13.32,96,43,7.49,scattered clouds
217,Mitu,CO,1.2,-70.17,74.5,82,62,1.9,broken clouds
218,Moerai,PF,-22.43,-151.33,73.24,76,90,25.52,light rain
219,Moranbah,AU,-22.0,148.05,90.37,26,52,17.49,broken clouds
220,Port Alfred,ZA,-33.59,26.89,67.86,83,1,12.66,clear sky
221,Edson,CA,53.58,-116.44,1.4,91,1,4.7,clear sky
222,Sechura,PE,-5.56,-80.82,64.44,78,8,9.28,clear sky
223,Beira,MZ,-19.84,34.84,71.6,94,20,5.82,few clouds
224,Kazachinskoye,RU,57.7,93.28,30.43,89,94,11.05,overcast clouds
225,Kenai,US,60.55,-151.26,44.6,56,90,8.05,overcast clouds
226,Fort Nelson,CA,58.81,-122.7,15.8,78,75,4.7,broken clouds
227,Chebsara,RU,59.2,38.84,32.0,98,75,4.47,broken clouds
228,Cayenne,GF,4.93,-52.33,75.2,100,40,2.24,scattered clouds
229,Shirokiy,RU,49.76,129.52,47.32,54,0,15.75,clear sky
230,Katherine,AU,-14.47,132.27,98.6,32,75,8.05,light rain
231,Kyabe,TD,9.45,18.94,76.78,74,100,1.36,overcast clouds
232,Vila Velha,BR,-20.33,-40.29,73.99,94,75,5.82,light rain
233,Hamilton,US,39.18,-84.53,46.99,70,90,11.41,overcast clouds
234,Ternate,ID,0.8,127.4,84.6,68,98,4.16,moderate rain
235,Adrar,MR,20.5,-10.07,83.07,15,89,5.26,overcast clouds
236,Ossora,RU,59.24,163.07,40.57,83,100,11.43,overcast clouds
237,Kutum,SD,14.2,24.67,67.08,31,38,13.31,scattered clouds
238,Trinidad,BO,-14.83,-64.9,83.89,55,82,5.7,broken clouds
239,Victoria,HK,22.29,114.16,82.0,56,60,1.99,broken clouds
240,Alofi,NU,-19.06,-169.92,77.0,83,96,19.46,overcast clouds
241,Hasaki,JP,35.73,140.83,73.0,34,20,10.29,few clouds
242,Kunda,IN,25.72,81.52,87.12,33,13,2.62,few clouds
243,Nanakuli,US,21.39,-158.15,80.6,74,1,4.7,clear sky
244,Manikpur,IN,25.07,81.12,87.13,36,12,3.87,few clouds
245,Luganville,VU,-15.53,167.17,84.2,70,40,10.29,scattered clouds
246,Jizan,SA,17.33,42.67,82.4,83,20,3.36,few clouds
247,Dudinka,RU,69.41,86.18,12.2,92,75,11.18,light snow
248,San Borja,BO,-14.82,-66.85,80.35,60,28,1.79,scattered clouds
249,Keuruu,FI,62.27,24.7,28.99,100,90,1.99,fog
250,Kushmurun,KZ,52.45,64.63,47.5,84,69,12.66,broken clouds
251,Verkhnevilyuysk,RU,63.45,120.32,29.08,95,96,4.54,overcast clouds
252,Sisimiut,GL,66.94,-53.67,21.78,88,0,11.14,clear sky
253,Copiague,US,40.68,-73.4,50.0,61,1,10.29,clear sky
254,College,US,64.86,-147.8,30.0,79,75,2.53,broken clouds
255,Kavarna,BG,43.43,28.33,61.0,93,75,5.37,broken clouds
256,Paamiut,GL,61.99,-49.67,30.94,84,100,11.7,overcast clouds
257,Chokurdakh,RU,70.63,147.92,13.39,96,53,8.43,broken clouds
258,Nantucket,US,41.28,-70.1,54.0,80,90,18.34,overcast clouds
259,Jacobabad,PK,28.28,68.44,89.11,11,0,8.21,clear sky
260,Ponta Delgada,PT,37.73,-25.67,64.4,77,40,5.82,scattered clouds
261,Wanning,CN,18.8,110.4,80.44,85,92,15.26,overcast clouds
262,Pyaozerskiy,RU,65.83,31.17,31.89,96,100,5.99,overcast clouds
263,Mar Del Plata,AR,-38.0,-57.56,59.0,100,90,6.93,drizzle
264,Mayahi,NE,13.96,7.67,77.95,17,34,10.85,scattered clouds
